"","location","surveypoint","date","start","end","observers","airtemp","avgwind","maxwind","clouds","watertemp","salinity","tide","habitat","mgmt","bankveg","bankcover","basking","flowstatus","number","logsalinity","logwind"
"1","Arnold","AR1P","6/29/2020","10:50","11:06","Melissa, Sidney",87.5,6,10.9,"Clear",25.2,10.1,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,0,2.31253542384721,1.79175946922805
"2","Arnold","AR1P","6/30/2020","11:32","11:47","Melissa, Sidney",89.2,1.6,2.7,"Clear",30.7,4.1,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,1,1.41098697371026,0.470003629245736
"3","Arnold","AR1P","7/1/2020","9:21","9:36","Melissa, Sidney",82.5,5.8,8.8,"Clear",24.1,11.7,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,1,2.45958884180371,1.75785791755237
"4","Arnold","AR1P","8/10/2020","8:42","8:57","Sidney",68.5,6.2,8.6,"Clear",21.3,7.1,NA,"Borrow Ditch","managed","PHAU, SAPA, ATPR",90,"exposed bank",14,0,1.96009478404727,1.82454929205105
"5","Arnold","AR1P","8/11/2020","10:20","10:35","Melissa",73.2,8.4,11.8,"Clear",21.7,8.4,NA,"Borrow Ditch","managed","ATPR, RASA, GRST",90,"exposed bank",12,0,2.12823170584927,2.12823170584927
"6","Arnold","AR1P","8/12/2020","12:16","12:31","Sidney",83.7,5.8,7.7,"Clear",25,8.1,NA,"Borrow Ditch","managed","RASA, SAPA, DISP",90,"exposed bank",14,0,2.09186406167839,1.75785791755237
"7","Arnold","AR1S","6/29/2020","10:50","11:06","Melissa, Sidney",87.5,6,10.9,"Clear",21.5,4,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",16,0,1.38629436111989,1.79175946922805
"8","Arnold","AR1S","6/30/2020","11:32","11:47","Melissa, Sidney",89.2,1.6,2.7,"Clear",22.4,10.8,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",16,0,2.37954613413017,0.470003629245736
"9","Arnold","AR1S","7/1/2020","9:21","9:36","Melissa, Sidney",82.5,5.8,8.8,"Clear",21.7,4,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",11,0,1.38629436111989,1.75785791755237
"10","Arnold","AR1S","8/10/2020","8:42","8:57","Melissa",68.5,6.2,8.6,"Clear",21.8,6.9,"LOOKUP","Minor Slough","tidal","SCAC, SCAM, CASE",100,"banks",14,0,1.93152141160321,1.82454929205105
"11","Arnold","AR1S","8/11/2020","10:20","10:35","Sidney",73.2,8.4,11.8,"Clear",21.6,6.1,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",17,0,1.80828877117927,2.12823170584927
"12","Arnold","AR1S","8/12/2020","12:16","12:31","Melissa",83.7,5.8,7.7,"Clear",22.1,6.9,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",17,0,1.93152141160321,1.75785791755237
"13","Arnold","AR2","6/29/2020","11:17","11:32","Melissa, Sidney",84.7,4,6.2,"Clear",25.2,10.1,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,2.31253542384721,1.38629436111989
"14","Arnold","AR2","6/30/2020","11:08","11:23","Melissa, Sidney",90.9,1.9,3.2,"Clear",30.7,4.1,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,1.41098697371026,0.641853886172395
"15","Arnold","AR2","7/1/2020","8:57","9:12","Melissa, Sidney",69.5,4.9,8.5,"Clear",22.2,3.8,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,1.33500106673234,1.58923520511658
"16","Arnold","AR2","8/10/2020","9:07","9:22","Sidney",70.9,4.6,8,"Clear",21.3,7.1,NA,"Borrow Ditch","managed","SCAC, SAPA, RASA, ATPR",90,"exposed bank",13,0,1.96009478404727,1.52605630349505
"17","Arnold","AR2","8/11/2020","10:41","10:56","Melissa",74,4.4,9.7,"Clear",21.7,8.4,NA,"Borrow Ditch","managed","SCAC, SAPA, RASA, ATPR",90,"exposed bank",10,0,2.12823170584927,1.48160454092422
